iyear,portfolio_return_p1,excess_sp500_return_p1,sp500_return_p1,portfolio_return,excess_sp500_return,sp500_return
1980,1.2466871087839497,1.0651880141747938,1.1892080442317348,0.24668710878394973,0.0651880141747938,0.18920804423173476
1981,1.2125554943970773,1.3473705207261584,0.9026959890277477,0.21255549439707733,0.34737052072615837,-0.09730401097225228
1982,1.4830674825215522,1.2818589075199516,1.147613183730223,0.4830674825215522,0.2818589075199516,0.14761318373022303
1983,1.7369200949241799,1.4973054358594098,1.1727104252180485,0.7369200949241799,0.4973054358594098,0.17271042521804847
1984,0.9973664101111857,0.9858855609577081,1.0140060148339423,-0.002633589888814347,-0.014114439042291926,0.01400601483394226
1985,1.4359250178491034,1.1439052125283553,1.2633340877239296,0.4359250178491034,0.1439052125283553,0.26333408772392963
1986,1.4014041463374596,1.2147501819189435,1.1462040858340605,0.4014041463374596,0.21475018191894346,0.14620408583406053
1987,1.1888104349120636,1.201622156995287,1.020275030195699,0.18881043491206362,0.20162215699528696,0.020275030195699095
1988,1.2673405164537026,1.1293695228001361,1.1240084133421155,0.2673405164537026,0.12936952280013614,0.12400841334211554
1989,1.3804789037261018,1.0810254922168034,1.2725046548042174,0.3804789037261018,0.08102549221680344,0.27250465480421737
1990,1.0454396521630211,1.1236923595537258,0.9344086207892375,0.04543965216302115,0.12369235955372582,-0.06559137921076252
1991,1.5281184874624438,1.214922204573026,1.2630670302358151,0.5281184874624438,0.2149222045730259,0.2630670302358151
1992,1.558294693951082,1.4897543583702426,1.0446426324014846,0.558294693951082,0.4897543583702426,0.04464263240148458
1993,1.5019989198021775,1.4062811714327557,1.0705515633075675,0.5019989198021775,0.40628117143275566,0.07055156330756751
1994,1.1120797668408684,1.1213814641915707,0.9846070892374701,0.1120797668408684,0.1213814641915707,-0.01539291076252991
1995,1.7562674362912711,1.3166005875320306,1.341106554937678,0.7562674362912711,0.3166005875320306,0.34110655493767794
1996,1.3395057684139575,1.117546225519901,1.2026366619657185,0.3395057684139575,0.1175462255199009,0.2026366619657185
1997,1.4422142758504715,1.0965816968260078,1.31008181930987,0.44221427585047146,0.09658169682600781,0.31008181930987
1998,1.0488701650662995,0.8267539667060713,1.2666858891286292,0.04887016506629949,-0.17324603329392874,0.2666858891286292
1999,1.6602612528937983,1.386740312208746,1.1952604683550412,0.6602612528937983,0.38674031220874605,0.19526046835504118
2000,1.1326404286543699,1.2328924970860924,0.8986081524738772,0.13264042865436987,0.2328924970860924,-0.10139184752612285
2001,1.5887485644825525,1.8283818078962033,0.869573066889757,0.5887485644825525,0.8283818078962033,-0.130426933110243
2002,1.2684131433157875,1.6167546165681035,0.7663403608088726,0.2684131433157875,0.6167546165681035,-0.23365963919112742
2003,2.337989378897817,1.857730487911279,1.263803998472175,1.337989378897817,0.857730487911279,0.26380399847217495
2004,1.3973492664043516,1.2890724108797735,1.0899345250818624,0.39734926640435164,0.28907241087977353,0.0899345250818624
2005,1.2778253558052333,1.2503261864635655,1.0300102262111017,0.27782535580523327,0.2503261864635655,0.03001022621110172
2006,1.2752752464173913,1.126951906504795,1.1361943187671877,0.2752752464173913,0.12695190650479504,0.13619431876718768
2007,1.0489452565380408,1.017839432906048,1.0352957320474407,0.04894525653804083,0.01783943290604806,0.03529573204744074
2008,0.6106339429967002,0.9960608146874503,0.6151420691114806,-0.38936605700329985,-0.0039391853125496645,-0.3848579308885194
2009,1.9497448135031727,1.605238254581457,1.2345419050790665,0.9497448135031727,0.605238254581457,0.23454190507906647
2010,1.342808820174419,1.1940184670445222,1.1278271377185676,0.34280882017441905,0.1940184670445222,0.12782713771856757
2011,0.6115831043772377,0.6199009720239139,0.999968164431985,-0.38841689562276227,-0.3800990279760861,-3.183556801500398e-05
2012,1.3231733511560793,1.1742558691255758,1.1340569076507785,0.32317335115607926,0.17425586912557578,0.1340569076507785
2013,1.5249491821027665,1.185499214886275,1.296012498410557,0.5249491821027665,0.18549921488627508,0.296012498410557
2014,1.0293143829154108,0.9250614893138039,1.1139063379841734,0.029314382915410775,-0.07493851068619606,0.11390633798417338
2015,0.9751363538471066,0.9796132957162386,0.9927340028837635,-0.02486364615289338,-0.020386704283761437,-0.007265997116236544
